hsk_level,hanzi,pinyin,meaning
4,爱情,àiqíng,(romantic) love
4,安排,ānpái,arrange; to plan
4,安全,ānquán,safe; safety; secure
4,按时,ànshí,on time; on schedule
4,按照,ànzhào,according to; in accordance with; in light of
4,百分之,bǎifēnzhī,percent
4,棒,bàng,stick; club; good
4,包子,bāozi,steamed stuffed bun
4,保护,bǎohù,to protect; to defend
4,保证,bǎozhèng,to guarantee; ensure
4,报名,bào míng,sign up; apply
4,抱,bào,to hold; to hug; carry in one's arms
4,抱歉,bàoqiàn,be sorry; feel apologetic; to regret
4,倍,bèi,"(two, three, etc)-fold; times (multiplier)"
4,本来,běnlái,originally; at first
4,笨,bèn,stupid; foolish; silly
4,比如,bǐrú,for example; for instance; such as
4,毕业,bì yè,to graduate; to finish school
4,遍,biàn,a time; everywhere; turn
4,标准,biāozhǔn,(an official) standard; norm; criterion
4,表格,biǎogé,form (document)
4,表示,biǎoshì,express; show; indicate
4,表演,biǎoyǎn,perform; to play
4,表扬,biǎoyáng,to praise; commend
4,饼干,bǐnggān,biscuit; cracker; cookie
4,并且,bìngqiě,and; besides; moreover
4,博士,bóshì,doctor; PhD
4,不得不,bù dé bù,have to; have no choice but to; cannot but
4,不管,bùguǎn,"no matter (what, how, etc.); regardless of"
4,不过,búguò,only; merely; but
4,不仅,bùjǐn,not only; not just
4,部分,bùfen,part; share; section
4,擦,cā,to wipe; to rub; to polish
4,猜,cāi,to guess
4,材料,cáiliào,material
4,参观,cānguān,"to visit (a place, such as a tourist spot); inspect"
4,餐厅,cāntīng,dining hall; cafeteria; restaurant
4,厕所,cèsuǒ,bathroom; toilet; lavatory
4,差不多,chàbuduō,almost; about the same
4,长城,chángchéng,the Great Wall
4,长江,Chángjiāng,the Yangtze River; the Changjiang River
4,尝,cháng,to taste; flavor; (past tense marker)
4,场,chǎng,courtyard; place; field
4,超过,chāoguò,surpass; exceed; outstrip
4,成功,chénggōng,success; to succeed
4,成为,chéngwéi,become; turn into
4,诚实,chéngshí,honest; honorable
4,乘坐,chéngzuò,ride; get into (a vehicle)
4,吃惊,chī jīng,be startled; be shocked; be amazed
4,重新,chóngxīn,again; anew; once more
4,抽烟,chōuyān,"to smoke (a cigarette, pipe, etc.)"
4,出差,chū chāi,go on a business trip
4,出发,chūfā,start out; set off
4,出生,chūshēng,be born
4,出现,chūxiàn,appear; arise; emerge
4,厨房,chúfáng,kitchen
4,传真,chuánzhēn,fax; facsimile
4,窗户,chuānghu,window
4,词语,cíyǔ,words and expressions; terms
4,从来,cónglái,always; at all times
4,粗心,cūxīn,careless; inadvertent; negligent
4,存,cún,exist; to deposit; to store
4,错误,cuòwù,error; mistake; mistaken
4,答案,dá'àn,answer; solution
4,打扮,dǎban,dress up; put on make up
4,打扰,dǎrǎo,disturb
4,打印,dǎyìn,to print
4,打招呼,dǎzhāohu,notify; greet; inform
4,打折,dǎzhé,sell at a discount
4,打针,dǎzhēn,inject; get a shot
4,大概,dàgài,probably; roughly; approximate
4,大使馆,dàshǐguǎn,embassy
4,大约,dàyuē,approximately; about
4,大夫,dàifu,doctor; physician
4,戴,dài,put on; to wear; to respect
4,当,dāng,should; act as; work as
4,当时,dāngshí,then; at that time; while
4,刀,dāo,knife; blade
4,导游,dǎoyóu,tour guide
4,到处,dàochù,everywhere; in all places; all over
4,到底,dào dǐ,after all; in the end (used in a question)
4,倒,"dǎo, dào",to collapse; to fall; fail
4,道歉,dàoqiàn,apologize; make an apology
4,得意,déyì,proud of oneself; complacent
4,得,de,(complement particle)
4,登机牌,dēngjīpái,boarding pass
4,等,děng,to wait; rank; equal
4,低,dī,low; to lower (one's head); droop
4,底,dǐ,bottom; background; base
4,地点,dìdiǎn,place; site; location
4,地球,dìqiú,the Earth; planet
4,地址,dìzhǐ,address
4,调查,diàochá,investigate; survey; inquiry
4,掉,diào,to drop; to fall
4,丢,diū,lose (something); throw; put aside
4,动作,dòngzuò,movement; motion; action
4,堵车,dǔchē,traffic jam
4,肚子,dùzi,belly; abdomen; stomach
4,短信,duǎnxìn,text message; SMS
4,对话,duìhuà,dialogue; conversation
4,对面,duìmiàn,opposite; across from; the other side
4,对于,duìyú,regarding; as far as sth. is concerned; with regards to
4,儿童,értóng,child; children
4,而,ér,and; but; yet
4,发生,fāshēng,happen; occur; take place
4,发展,fāzhǎn,develop; development; growth
4,法律,fǎlǜ,law; statute
4,翻译,fānyì,translate; translation; interpret
4,烦恼,fánnǎo,worried; vexed
4,反对,fǎnduì,oppose; fight against
4,方法,fāngfǎ,method; way; means
4,方面,fāngmiàn,aspect; field; side
4,方向,fāngxiàng,direction; orientation
4,房东,fángdōng,landlord
4,放弃,fàngqì,abandon; renounce; give up
4,放暑假,fàng shǔjià,have summer vacation
4,放松,fàngsōng,relax; loosen; slacken
4,份,fèn,"part; portion; (mw for documents, papers, jobs, etc.)"
4,丰富,fēngfù,rich; enrich; abundant
4,否则,fǒuzé,if not; otherwise; or else
4,符合,fúhé,in keeping with; in accordance with; conform
4,父亲,fùqin,father
4,付款,fù kuǎn,to pay
4,负责,fùzé,responsible for (something); in charge of
4,复印,fùyìn,photocopy; duplicate
4,复杂,fùzá,complicated; complex
4,富,fù,wealthy
4,改变,gǎibiàn,to change; alter; to transform
4,干杯,gān bēi,to drink a toast; cheers!; bottoms up!
4,赶,gǎn,catch up; overtake; drive away
4,敢,gǎn,to dare
4,感动,gǎndòng,be moved; to touch emotionally
4,感觉,gǎnjué,to feel; become aware of; feeling
4,感情,gǎnqíng,feeling; emotion; sensation
4,感谢,gǎnxiè,thank; be grateful
4,干,gān,to concern; shield; dry
4,刚,gāng,just (indicating the immediate past); recently; firm
4,高速公路,gāosù gōnglù,highway
4,胳膊,gēbo,arm
4,各,gè,each; every
4,工资,gōngzī,wages; pay; earnings
4,公里,gōnglǐ,kilometer
4,功夫,gōngfu,kung fu; skill; art
4,共同,gòngtóng,together; common; joint
4,购物,gòuwù,go shopping; buy goods
4,够,gòu,enough; to reach
